name,city,state,website,num_of_children,children_properties
Neema Hospitality,Mechanicsburg,Pennsylvania,https://www.hospitalityonline.com/neema/locations,12,http://www.neemahospitality.com
The Olympia Companies,Portland,Maine,https://www.hospitalityonline.com/olympia/locations,27,https://theolympiacompanies.com
Neon Marketplace Corporate,Cranston,Rhode Island,https://www.hospitalityonline.com/neon-marketplace-corporate/locations,2,https://www.neonmkts.com
Rosewood Hotels & Resorts,West Hollywood,California,https://www.hospitalityonline.com/rosewood-hotels-resorts/locations,28,http://www.rosewoodhotels.com/
Hyatt Regency Greenville,Greenville,South Carolina,https://www.hospitalityonline.com/hyatt-regency-greenville/locations,1,https://greenville.regency.hyatt.com/en/hotel/home.html
H.I. Development,Tampa,Florida,https://www.hospitalityonline.com/hi-development/locations,8,http://www.hidevelopment.com
Quorum Hotels & Resorts,Dallas,Texas,https://www.hospitalityonline.com/quorum-hotels/locations,10,http://www.quorumhotels.com
3S Hotels Group,Tulsa,Oklahoma,https://www.hospitalityonline.com/3s-hotels-group/locations,3,https://3shotels.com
Asheville Hotel Group,Fletcher,North Carolina,https://www.hospitalityonline.com/asheville-hotel-group/locations,5,http://ashevillehotelgroup.com
Radisson Hotel & Conference Center Green Bay,Green Bay,Wisconsin,https://www.hospitalityonline.com/radisson-greenbay/locations,1,http://www.radisson.com/green-bay-hotel-wi-54313/greenbay
RevPAR Companies,Durham,North Carolina,https://www.hospitalityonline.com/revpar-companies/locations,20,http://www.revparco.com/
Cura Hospitality,Canonsburg,Pennsylvania,https://www.hospitalityonline.com/cura-hospitality/locations,13,http://www.curahospitality.com/
Barsala,Portland,Oregon,https://www.hospitalityonline.com/barsala/locations,9,https://www.barsala.com
Onyx Hospitality,Boca Raton,Florida,https://www.hospitalityonline.com/onyx-hospitality/locations,12,http://onyxhospitality.com/index.html
Linchris Hotel Corporation,Plymouth,Massachusetts,https://www.hospitalityonline.com/linchris/locations,32,http://www.linchris.com/
Gulph Creek Hotels,Wayne,Pennsylvania,https://www.hospitalityonline.com/gulph-creek/locations,19,https://gulphcreekhotels.com/
Cahuilla Band of Indians,Anza,California,https://www.hospitalityonline.com/employers/280449/locations,1,https://www.cahuilla.net
